userid,itemid,rating,timestamp
1,74,1,889751736
2,314,1,888980085
3,318,4,889237482
4,294,5,892004409
5,453,1,879198898
6,465,1,883683508
7,654,5,892135347
8,241,4,879362423
9,487,5,886960056
10,294,3,879163524
11,51,4,891906439
12,318,5,879960826
13,916,4,892870589
14,750,3,891014196
15,931,1,879456507
16,404,5,877728417
17,471,2,885272779
18,64,5,880132501
19,692,3,885412840
20,94,2,879669954
21,590,1,874951898
22,29,1,878888228
23,315,3,884550320
24,655,5,875323915
25,239,4,885853415
26,9,4,891386369
27,925,3,891543245
28,678,2,882826550
29,182,4,882821989
30,683,3,885941798
31,498,4,881548111
32,1016,1,883718121
33,323,4,891964373
34,289,1,888602950
35,332,4,875459237
36,358,5,882157581
37,265,4,880930072
38,672,3,892434800
39,347,4,891400704
40,754,4,889041790
41,430,5,890692860
42,845,5,881110719
43,316,5,892349752
44,176,5,883613372
45,820,4,881015860
46,181,4,883616254
47,995,3,879440429
48,528,5,879434954
49,403,3,888069636
50,544,4,877052937
51,83,5,883498937
52,204,4,882923012
53,748,2,879443329
54,634,1,892681013
55,89,5,878176398
56,395,3,892911625
57,56,3,883698646
58,191,5,892791893
59,321,4,888206764
60,15,4,883328033
61,678,3,892302309
62,167,2,879376727
63,480,3,875748245
64,227,3,889740880
65,238,3,879218449
66,249,4,883602158
67,7,5,875379794
68,409,3,876974677
69,12,5,882145567
70,408,4,884152129
71,197,5,885016990
72,479,4,880037881
73,246,3,888792938
74,508,4,888333542
75,190,5,884051948
76,582,3,882607444
77,97,2,884753292
78,411,4,879634223
79,370,2,891272016
80,237,4,887401732
81,544,2,876546272
82,834,1,884714618
83,406,2,891182431
84,98,4,883453755
85,316,3,893110061
86,683,5,879570974
87,9,4,879877931
88,1191,5,891038103
89,813,5,879461219
90,385,4,891385899
91,234,5,891439503
92,1023,2,892655775
93,934,3,888705988
94,302,4,891928684
95,78,3,888956901
96,1154,5,884403993
97,663,5,884239791
98,629,5,880499111
99,255,3,888469419
100,905,3,891375630
101,121,4,877137015
102,1052,2,892993983
103,96,4,880422009
104,840,1,888466086
105,264,2,889214491
106,275,4,883877219
107,259,2,891264630
108,931,2,879880190
109,395,3,880583672
110,364,3,886989612
111,344,2,891680243
112,339,4,892439990
113,979,5,875936424
114,156,4,881309662
115,178,5,881172246
116,344,5,892683820
117,410,3,886021458
118,218,5,875385386
119,916,1,892564442
120,827,2,889490979
121,472,3,891390599
122,1168,4,879270902
123,255,1,879873905
124,195,4,890399864
125,1093,1,892839412
126,337,5,887938392
127,62,5,884364950
128,684,4,879969390
129,748,2,883245452
130,272,5,888962577
131,269,5,883681723
132,664,5,891278996
133,243,3,890589035
134,15,5,891732726
135,38,3,879858003
136,525,5,882848925
137,261,5,882805603
138,238,5,879024382
139,127,5,879538578
140,304,4,879013747
141,300,5,887424721
142,42,4,888640489
143,347,5,888407741
144,707,3,888106322
145,347,3,891509921
146,336,5,891458193
147,301,5,885594204
148,993,4,877400154
149,312,1,883512950
150,325,1,878747322
151,966,4,879543457
152,272,5,890322298
153,187,2,881371198
154,187,5,879139096
155,322,2,879371261
156,22,3,888186093
157,407,4,886891218
158,731,2,880135118
159,881,1,893256139
160,328,3,878078096
161,1117,3,891172402
162,710,4,877636860
163,98,4,891220196
164,407,2,889402443
165,187,3,879526046
166,343,4,886397882
167,733,2,892738453
168,225,5,884288304
169,443,4,891359418
170,304,4,887646133
171,344,3,891034889
172,582,4,875538864
173,260,4,877557345
174,13,3,891551777
175,88,4,877108146
176,919,2,886048391
177,92,4,882142295
178,342,4,892239863
179,307,3,892151565
180,961,5,877544384
181,3,2,878963441
182,111,4,885613238
183,222,4,892323453
184,275,5,889913687
185,528,4,883526268
186,477,4,891719775
187,275,5,879465937
188,216,5,875075300
189,150,4,893277702
190,826,3,891626040
191,332,2,891562090
192,1171,2,881368358
193,127,5,890860351
194,1408,1,879555267
195,591,4,892281779
196,94,3,881252172
197,586,3,891410170
198,652,3,884209569
199,473,4,883783005
200,743,3,891825607
201,272,3,886013700
202,191,2,879727294
203,282,1,880434919
204,9,5,892513979
205,316,4,888284710
